"full_name","ssphp_organisation","ssphp_repo"
"DFE-Digital/login.dfe.jobs","DFE-Digital","login.dfe.jobs"
"DFE-Digital/login.dfe.jwt-strategies","DFE-Digital","login.dfe.jwt-strategies"
"DFE-Digital/login.dfe.k6.load-tests","DFE-Digital","login.dfe.k6.load-tests"
"DFE-Digital/login.dfe.kue","DFE-Digital","login.dfe.kue"
"DFE-Digital/login.dfe.maintenance","DFE-Digital","login.dfe.maintenance"
"DFE-Digital/login.dfe.manage","DFE-Digital","login.dfe.manage"
"DFE-Digital/login.dfe.monitor","DFE-Digital","login.dfe.monitor"
"DFE-Digital/login.dfe.ncs-uis","DFE-Digital","login.dfe.ncs-uis"
"DFE-Digital/login.dfe.node-boilerplate","DFE-Digital","login.dfe.node-boilerplate"
"DFE-Digital/login.dfe.notifications.client","DFE-Digital","login.dfe.notifications.client"
"DFE-Digital/login.dfe.notifications.jobs","DFE-Digital","login.dfe.notifications.jobs"
"DFE-Digital/login.dfe.org-management.api","DFE-Digital","login.dfe.org-management.api"
"DFE-Digital/login.dfe.org-management.web","DFE-Digital","login.dfe.org-management.web"
"DFE-Digital/login.dfe.organisations","DFE-Digital","login.dfe.organisations"
"DFE-Digital/login.dfe.policy-engine","DFE-Digital","login.dfe.policy-engine"
"DFE-Digital/login.dfe.portal","DFE-Digital","login.dfe.portal"
"DFE-Digital/login.dfe.profile","DFE-Digital","login.dfe.profile"
"DFE-Digital/login.dfe.public-api","DFE-Digital","login.dfe.public-api"
"DFE-Digital/login.dfe.public-api.jobs","DFE-Digital","login.dfe.public-api.jobs"
"DFE-Digital/login.dfe.public-api.jobs.client","DFE-Digital","login.dfe.public-api.jobs.client"
"DFE-Digital/login.dfe.request-promise-retry","DFE-Digital","login.dfe.request-promise-retry"
"DFE-Digital/login.dfe.request-verification","DFE-Digital","login.dfe.request-verification"
"DFE-Digital/login.dfe.ruby","DFE-Digital","login.dfe.ruby"
"DFE-Digital/login.dfe.saml-assertions","DFE-Digital","login.dfe.saml-assertions"
"DFE-Digital/login.dfe.saml.proxy","DFE-Digital","login.dfe.saml.proxy"
"DFE-Digital/login.dfe.samlclient","DFE-Digital","login.dfe.samlclient"
"DFE-Digital/login.dfe.sanitization","DFE-Digital","login.dfe.sanitization"
"DFE-Digital/login.dfe.search","DFE-Digital","login.dfe.search"
"DFE-Digital/login.dfe.service-notifications.jobs","DFE-Digital","login.dfe.service-notifications.jobs"
"DFE-Digital/login.dfe.service-notifications.jobs.client","DFE-Digital","login.dfe.service-notifications.jobs.client"
"DFE-Digital/login.dfe.services","DFE-Digital","login.dfe.services"
"DFE-Digital/login.dfe.support","DFE-Digital","login.dfe.support"
"DFE-Digital/login.dfe.uptime-test","DFE-Digital","login.dfe.uptime-test"
"DFE-Digital/login.dfe.validation","DFE-Digital","login.dfe.validation"
"DFE-Digital/login.dfe.winston-appinsights","DFE-Digital","login.dfe.winston-appinsights"
"DFE-Digital/maeves-test-prototype","DFE-Digital","maeves-test-prototype"
"DFE-Digital/mail-notify","DFE-Digital","mail-notify"
"DFE-Digital/manage-applications","DFE-Digital","manage-applications"
"DFE-Digital/manage-teacher-misconduct-referrals-prototype","DFE-Digital","manage-teacher-misconduct-referrals-prototype"
