tech_test,savedsearch,index,source,sourcetype,custom
ADO,ssphp_use_case_ado_001_cis_1-5-1,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-5-1,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_dfe_1-0,ssphp_metrics_data,,ADO,SSPHP_DEBUG.type=~fn adv_security_repo_enablement~
DEFENDER,ssphp_use_case_defender_assessments,ssphp_metrics_data,,azure_resource_graph,type=~microsoft.security/assessments~
DEFENDER,ssphp_use_case_defender_assessments_k8s,ssphp_metrics_data,,azure_resource_graph,type=~microsoft.security/assessments~
QUALYS,ssphp_use_case_vulnerabilities_dfe_1-0,qualys,,qualys:hostDetection,
QUALYS,ssphp_use_case_vulnerabilities_dfe_1-0,ssphp_metrics_data,,azure_resource_graph,type=~microsoft.compute/virtualmachines~
M365,ssphp_use_case_m365_001_cis_1-1-1,ssphp_metrics_data,,m365:identitySecurityDefaultsEnforcementPolicy,
M365,ssphp_use_case_m365_001_cis_1-1-2,ssphp_metrics_data,,SSPHP.AAD.user,
M365,ssphp_use_case_m365_001_cis_1-1-2,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-3,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-4,ssphp_metrics_data,,SSPHP.AAD.user,
M365,ssphp_use_case_m365_001_cis_1-1-4,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-5,ssphp_metrics_data,,m365:authentication_methods_policy,
M365,ssphp_use_case_m365_001_cis_1-1-6,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-7,ssphp_metrics_data,,SSPHP.AAD.user,
M365,ssphp_use_case_m365_001_cis_1-1-7,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-8,ssphp_metrics_data,/beta/reports/authenticationMethods/userRegistrationDetails,,
M365,ssphp_use_case_m365_001_cis_1-1-9,ssphp_metrics_data,/v1.0/groupSettings,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-10,ssphp_metrics_data,/v1.0/groupSettings,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-11,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-12,ssphp_metrics_data,,m365:control_score,controlName=~PasswordHashSync~
M365,ssphp_use_case_m365_001_cis_1-1-13,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-14,ssphp_metrics_data,,m365:control_score,controlName=~UserRiskPolicy~
M365,ssphp_use_case_m365_001_cis_1-1-15,ssphp_metrics_data,/*/roleManagement/directory/roleAssignmentScheduleInstances*,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-16,ssphp_metrics_data,/v1.0/groups,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-1-17,ssphp_metrics_data,/beta/legacy/policies,ssphp:ms_graph:json,type=~B2BManagementPolicy~
M365,ssphp_use_case_m365_001_cis_1-1-22,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-2,ssphp_metrics_data,,m365:organization_config,
M365,ssphp_use_case_m365_001_cis_1-4,ssphp_metrics_data,/v1.0/domains,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-5,ssphp_metrics_data,,SSPHP.AAD.user,isPrivileged=~true~
M365,ssphp_use_case_m365_001_cis_1-7,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_001_cis_1-7,ssphp_metrics_data,,ssphp:ms_graph:json,type=~ActivityBasedTimeoutPolicy~
M365,ssphp_use_case_m365_002_cis_2-1,ssphp_metrics_data,,m365:admin_consent_policy,
M365,ssphp_use_case_m365_002_cis_2-2,ssphp_metrics_data,,m365:control_score,controlName=~IntegratedApps~
M365,ssphp_use_case_m365_002_cis_2-3,ssphp_metrics_data,,m365:sharing_policy,
M365,ssphp_use_case_m365_002_cis_2-4,ssphp_metrics_data,,m365:safe_links_policy,
M365,ssphp_use_case_m365_002_cis_2-5,ssphp_metrics_data,,m365:atp_policy_for_o365,
M365,ssphp_use_case_m365_001_cis_2-7,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
